,Body,labels
79,s  only $140 ard... rest all ard $180 at least...Which is  price 4  2 bedrm ($900),Personal
80,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,Personal
81,Okay... I booked all already... Including the one at bugis.,Personal
82,Yun ah.now  wkg where?btw if  go nus sc.  wana specialise in wad?,Personal
83,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,Personal
84,Hey we can go jazz power yoga hip hop kb and yogasana,Personal
85,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",Personal
86,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,Personal
87,Wa... U so efficient... Gee... Thanx...,Personal
88,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",Personal
89,s e best choice den we juz have to take it...,Personal
90,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,Personal
91,"Until 545 lor... Ya, can go 4 dinner together...",Personal
92,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",Personal
93,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",Personal
94,s shop ?,Personal
95,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Personal
96,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",Personal
97,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,Personal
98,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,Personal
99,Hey... What time is your driving on fri? We go for evaluation on fri?,Personal
100,m going to be late leh.,Personal
101,Hey are we going for the lo lesson or gym?,Personal
102,Okay... We wait ah,Personal
103,Hey come online! Use msn... We are all there,Personal
104,Oh yah... We never cancel leh... Haha,Personal
105,K. Did you call me just now ah?,Personal
106,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,Personal
107,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,Personal
108,You want to go?,Personal
109,Kay... Since we are out already,Personal
110,Haha okay... Today weekend leh...,Personal
111,Haha... They cant what... At the most tmr forfeit... haha so how?,Personal
112,Hey... Why dont we just go watch x men and have lunch... Haha,Personal
113,Haha... Really oh no... How? Then will they deduct your lesson tmr?,Personal
114,m only reaching tp mrt,Personal
115,m goin to be late,Personal
116,Ya! when are  taking ure practical lessons? I start in june..,Personal
117,Hey... Very inconvenient for your sis a not huh?,Personal
118,m at amk. Need to drink tea or coffee,Personal
119,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,Personal
120,s on 21 may. Coz thought wanna go out with jiayin. But she isnt free,Personal
121,Haha... dont be angry with yourself... Take it as a practice for the real thing. =),Personal
122,Haha... Hope  can hear the receipt sound... Gd luck!,Personal
123,Huh? 6 also cannot? Then only how many mistakes?,Personal
124,Nope... Think i will go for it on monday... Sorry i replied so late,Personal
125,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,Personal
126,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,Personal
127,Hey gals.. Anyone of u going down to e driving centre tmr?,Personal
128,Ok no prob,Personal
129,Nope i waiting in sch 4 daddy...,Personal
130,Dunno lei he neva say...,Personal
131, called dad oredi...,Personal
132,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...,Personal
133,Dad went out oredi...,Personal
134, still attending da talks?,Personal
135,Then she buying today?  no need to c meh...,Personal
136,m free...,Personal
137,Nope... C  then...,Personal
138,Is fujitsu s series lifebook good?,Personal
139,Is toshiba portege m100 gd?,Personal
140,Yun buying... But school got offer 2000 plus only...,Personal
141,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",Personal
142,Okie... Thanx...,Personal
143,How come i din c ... Yup i cut my hair...,Personal
144,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,Personal
145,s naughty...  so free today? Can go jogging...,Personal
146,Ok... C ya...,Personal
147,m not drivin... I neva develop da photos lei...,Personal
148,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,Personal
149,645,Personal
150, dun need to pick ur gf?,Personal
151,Okie...,Personal
152,m at home n ready...,Personal
153,Ok...,Personal
154,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,Personal
155,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,Personal
156,Dun need to use dial up juz open da browser n surf...,Personal
157,When did i use soc... I use it only at home...  dunno how 2 type it in word ar...,Personal
158,Can a not?,Personal
159,Juz go google n search 4 qet...,Personal
160,s hostel?,Personal
161,Ok...,Personal
162,Huh means computational science... Y they like dat one push here n there...,Personal
163,I not at home now lei...,Personal
164,Eatin my lunch...,Personal
165, takin linear algebra today?,Personal
166, bot notes oredi... Cos i juz rem i got...,Personal
167,Wah lucky man... Then can save money... Hee...,Personal
168,Y so late but i need to go n get da laptop...,Personal
169,Where to get those?,Personal
170,Then cant get da laptop? My matric card wif  lei...,Personal
171,I dunno they close oredi not...  v ma fan...,Personal
172,Hi dis is yijue i would be happy to work wif  all for gek1510...,Personal
173, comin to fetch us oredi...,Personal
174,Got smaller capacity one? Quite ex...,Personal
175,Ok thanx...,Personal
176,Wat  doing now?,Personal
177,Got meh... When?,Personal
178,m not at home in da aft wat...,Personal
179,Mum ask  to buy food home...,Personal
180,Leave it wif me lar...  wan to carry meh so heavy... Is da num 98321561 familiar to ?,Personal
181,s my group mate... Lucky i havent reply... Wat time do  need to leave...,Personal
182,m askin if  leaving earlier or wat mah cos mayb  haf to walk v far...,Personal
183,Yup...,Personal
184,m stuck in da middle of da row on da right hand side of da lt...,Personal
185,Black shirt n blue jeans... I thk i c ...,Personal
186,Not directly behind... Abt 4 rows behind ...,Personal
187, go home liao? Ask dad to pick me up at 6...,Personal
188,m done oredi...,Personal
189,I wait 4  inside da car park...,Personal
190,Yup... How  noe leh...,Personal
191,Oic... I saw him too but i tot he din c me... I found a group liao...,Personal
192,Aiyo a bit pai seh noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,Personal
193,How i noe... Did  specify da domain as nusstu...  still in sch...,Personal
194,When  login dat time... Dad fetching  home now?,Personal
195,I come n pick  up... Come out immediately aft ur lesson...,Personal
196,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,Personal
197, ready then call me...,Personal
198, still got lessons?   in sch?,Personal
199,Shall i get my pouch?,Personal
200,m on da bus going home...,Personal
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Personal
1,Ok lar... Joking wif u oni...,Personal
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
3,U dun say so early hor... U c already then say...,Personal
4,"Nah I don't think he goes to usf, he lives around here though",Personal
5,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ?1.50 to rcv",spam
6,Even my brother is not like to speak with me. They treat me like aids patent.,Personal
7,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Personal
8,WINNER!! As a valued network customer you have been selected to receivea 900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
10,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",Personal
11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
12,"URGENT! You have won a 1 week FREE membership in our 100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Personal
14,I HAVE A DATE ON SUNDAY WITH WILL!!,Personal
15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
16,Oh k...i'm watching here:),Personal
17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Personal
18,Fine if thats the way u feel. Thats the way its gota b,Personal
19,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/?1.20 POBOXox36504W45WQ 16+",spam
20,Is that seriously how you spell his name?,Personal
21,Im going to try for 2 months ha ha only joking,Personal
22,So _ pay first lar... Then when is da stock comin...,Personal
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Personal
24,Ffffffffff. Alright no way I can meet up with you sooner?,Personal
25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Personal
26,Lol your always so convincing.,Personal
27,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Personal
28,"I'm back &amp; we're packing the car now, I'll let you know if there's room",Personal
29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Personal
30,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Personal
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Personal
32,K tell me anything about you.,Personal
33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,Personal
34,Thanks for your subscription to Ringtone UK your mobile will be charged 5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam
35,Yup... Ok i go home look at the timings then i msg _ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Personal
36,"Oops, I'll let you know when my roommate's done",Personal
37,I see the letter B on my car,Personal
38,Anything lor... U decide...,Personal
39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Personal
40,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Personal
41,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",Personal
42,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
43,WHO ARE YOU SEEING?,Personal
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Personal
45,No calls..messages..missed calls,Personal
46,Didn't you get hep b immunisation in nigeria.,Personal
47,"Fair enough, anything going on?",Personal
48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",Personal
49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Personal
50,What you thinked about me. First time you saw me in class.,Personal
51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",Personal
52,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,Personal
53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",Personal
54,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam
55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Personal
56,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
57,"Sorry, I'll call later in meeting.",Personal
58,Tell where you reached,Personal
59,Yes..gauti and sehwag out of odi series.,Personal
60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Personal
61,Ha ha ha good joke. Girls are situation seekers.,Personal
62,Its a part of checking IQ,Personal
63,"Sorry my roommates took forever, it ok if I come by now?",Personal
64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Personal
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ?1500 Bonus Prize, call 09066364589",spam
66,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",Personal
67,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or 1000. To claim txt DIS to 87121 18+6*?1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
68,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam
69,I plane to give on this month end.,Personal
70,Wah lucky man... Then can save money... Hee...,Personal
71,Finished class where are you.,Personal
72,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,Personal
73,K..k:)where are you?how did you performed?,Personal
74,U can call me now...,Personal
75,I am waiting machan. Call me once you free.,Personal
76,Thats cool. i am a gentleman and will treat you with dignity and respect.,Personal
77,I like you peoples very much:) but am very shy pa.,Personal
78,Does not operate after  &lt;#&gt;  or what,Personal
79,Its not the same here. Still looking for a job. How much do Ta's earn there.,Personal
80,"Sorry, I'll call later",Personal
81,K. Did you call me just now ah? ,Personal
82,Ok i am on the way to home hi hi,Personal
83,You will be in the place of that man,Personal
84,Yup next stop.,Personal
85,"I call you later, don't have network. If urgnt, sms me.",Personal
86,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Personal
87,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Personal
88,I'm really not up to it still tonight babe,Personal
89,"Ela kano.,il download, come wen ur free..",Personal
90,Yeah do! Dont stand to close tho- youll catch something!,Personal
91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Personal
92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Personal
93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ?1000 cash or ?5000 prize!,spam
94,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Personal
95,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
96,Watching telugu movie..wat abt u?,Personal
97,i see. When we finish we have loads of loans to pay,Personal
98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",Personal
99,Please don't text me anymore. I have nothing else to say.,Personal
100,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Personal
101,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Personal
102,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Personal
103,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",Personal
104,Umma my life and vava umma love you lot dear,Personal
105,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Personal
106,"Aight, I'll hit you up when I get some cash",Personal
107,How would my ip address test that considering my computer isn't a minecraft server,Personal
108,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,Personal
109,Dont worry. I guess he's busy.,Personal
110,What is the plural of the noun research?,Personal
111,Going for dinner.msg you after.,Personal
112,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Personal
113,GENT! We are trying to contact you. Last weekends draw shows that you won a 1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
114,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",Personal
115,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",Personal
116,You are a winner U have been specially selected 2 receive 1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam
117,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Personal
118,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Personal
119,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
120,"URGENT! Your Mobile No. was awarded 2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
121,here is my new address -apples&pairs&all that malarky,Personal
122,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
123,I am going to sao mu today. Will be done only at 12 ,Personal
124,predict wat time _'ll finish buying?,Personal
125,"Good stuff, will do.",Personal
126,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",Personal
127,Are you there in room.,Personal
128,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,Personal
129,K..k:)how much does it cost?,Personal
130,I'm home.,Personal
131,"Dear, will call Tmorrow.pls accomodate.",Personal
132,First answer my question.,Personal
133,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ?1.50 SP:Tyrone,spam
134,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam
135,I only haf msn. It's yijue@hotmail.com,Personal
136,He is there. You call and meet him,Personal
137,No no. I will check all rooms befor activities,Personal
138,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam
139,Got c... I lazy to type... I forgot _ in lect... I saw a pouch but like not v nice...,Personal
140,"K, text me when you're on the way",Personal
141,"Sir, Waiting for your mail.",Personal
142,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",Personal
143,I know you are. Can you pls open the back?,Personal
144,Yes see ya not on the dot,Personal
145,Whats the staff name who is taking class for us?,Personal
146,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam
147,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Personal
148,K..i deleted my contact that why?,Personal
149,Sindu got job in birla soft ..,Personal
150,The wine is flowing and i'm i have nevering..,Personal
151,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Personal
152,Ok... Ur typical reply...,Personal
153,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Personal
154,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",Personal
155,Aaooooright are you at work?,Personal
156,I'm leaving my house now...,Personal
157,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",Personal
158,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam
159,You are a winner U have been specially selected 2 receive 1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
160,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Personal
161,New car and house for my parents.:)i have only new job in hand:),Personal
162,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,Personal
163,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam
164,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam
165,I place all ur points on e cultures module already.,Personal
166,URGENT! We are trying to contact you. Last weekends draw shows that you have won a 900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam
167,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",Personal
168,Great escape. I fancy the bridge but needs her lager. See you tomo ,Personal
169,Yes :)it completely in out of form:)clark also utter waste.,Personal
170,"Sir, I need AXIS BANK account no and bank address.",Personal
171,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",Personal
172,What time you coming down later? ,Personal
173,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",Personal
174,"Well, i'm gonna finish my bath now. Have a good...fine night.",Personal
175,Let me know when you've got the money so carlos can make the call,Personal
176,U still going to the mall?,Personal
177,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",Personal
178,Text her. If she doesnt reply let me know so i can have her log in,Personal
179,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Personal
180,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,Personal
181,Lol no. U can trust me.,Personal
182,ok. I am a gentleman and will treat you with dignity and respect.,Personal
183,"He will, you guys close?",Personal
184,Going on nothing great.bye,Personal
185,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,Personal
186,"Haha awesome, be there in a minute",Personal
187,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ?1000 cash or ?5000 prize!,spam
188,Have you got Xmas radio times. If not i will get it now,Personal
