Body,labels
"ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",Personal
"m still sleepin, haha... Okie, u go home liao den confirm w me lor...",Personal
"m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",Personal
m eatin too much n puttin on weight...Haha... So anythin special happened?,Personal
Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,Personal
"m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Personal
Goin to workout lor... Muz lose e fats...,Personal
ve oredi booked slots 4 my weekends liao...,Personal
"I noe la... U wana pei bf oso rite... K lor, other days den...",Personal
U meet other fren dun wan meet me ah... Muz b a guy rite...,Personal
"Oh... Icic... K lor, den meet other day...",Personal
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",Personal
U attend ur driving lesson how many times a wk n which day?,Personal
Ay wana meet on sat? wkg on sat?,Personal
Shopping? Eh ger i toking abt syd leh...Haha,Personal
s  only $140 ard... rest all ard $180 at least...Which is  price 4  2 bedrm ($900),Personal
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,Personal
Okay... I booked all already... Including the one at bugis.,Personal
Yun ah.now  wkg where?btw if  go nus sc.  wana specialise in wad?,Personal
Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,Personal
Hey we can go jazz power yoga hip hop kb and yogasana,Personal
"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",Personal
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,Personal
Wa... U so efficient... Gee... Thanx...,Personal
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",Personal
s e best choice den we juz have to take it...,Personal
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,Personal
"Until 545 lor... Ya, can go 4 dinner together...",Personal
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",Personal
"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",Personal
s shop ?,Personal
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Personal
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",Personal
haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,Personal
My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,Personal
Hey... What time is your driving on fri? We go for evaluation on fri?,Personal
m going to be late leh.,Personal
Hey are we going for the lo lesson or gym?,Personal
Okay... We wait ah,Personal
Hey come online! Use msn... We are all there,Personal
Oh yah... We never cancel leh... Haha,Personal
K. Did you call me just now ah?,Personal
Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,Personal
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,Personal
You want to go?,Personal
Kay... Since we are out already,Personal
Haha okay... Today weekend leh...,Personal
Haha... They cant what... At the most tmr forfeit... haha so how?,Personal
Hey... Why dont we just go watch x men and have lunch... Haha,Personal
Haha... Really oh no... How? Then will they deduct your lesson tmr?,Personal
m only reaching tp mrt,Personal
m goin to be late,Personal
Ya! when are  taking ure practical lessons? I start in june..,Personal
Hey... Very inconvenient for your sis a not huh?,Personal
m at amk. Need to drink tea or coffee,Personal
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,Personal
s on 21 may. Coz thought wanna go out with jiayin. But she isnt free,Personal
Haha... dont be angry with yourself... Take it as a practice for the real thing. =),Personal
Haha... Hope  can hear the receipt sound... Gd luck!,Personal
Huh? 6 also cannot? Then only how many mistakes?,Personal
Nope... Think i will go for it on monday... Sorry i replied so late,Personal
Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,Personal
I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,Personal
Hey gals.. Anyone of u going down to e driving centre tmr?,Personal
Ok no prob,Personal
Nope i waiting in sch 4 daddy...,Personal
Dunno lei he neva say...,Personal
 called dad oredi...,Personal
Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...,Personal
Dad went out oredi...,Personal
 still attending da talks?,Personal
Then she buying today?  no need to c meh...,Personal
m free...,Personal
Nope... C  then...,Personal
Is fujitsu s series lifebook good?,Personal
Is toshiba portege m100 gd?,Personal
Yun buying... But school got offer 2000 plus only...,Personal
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",Personal
Okie... Thanx...,Personal
How come i din c ... Yup i cut my hair...,Personal
No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,Personal
s naughty...  so free today? Can go jogging...,Personal
Ok... C ya...,Personal
m not drivin... I neva develop da photos lei...,Personal
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,Personal
645,Personal
 dun need to pick ur gf?,Personal
Okie...,Personal
m at home n ready...,Personal
Ok...,Personal
Dunno lei... I thk mum lazy to go out... I neva ask her yet...,Personal
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,Personal
Dun need to use dial up juz open da browser n surf...,Personal
When did i use soc... I use it only at home...  dunno how 2 type it in word ar...,Personal
Can a not?,Personal
Juz go google n search 4 qet...,Personal
s hostel?,Personal
Ok...,Personal
Huh means computational science... Y they like dat one push here n there...,Personal
I not at home now lei...,Personal
Eatin my lunch...,Personal
 takin linear algebra today?,Personal
 bot notes oredi... Cos i juz rem i got...,Personal
Wah lucky man... Then can save money... Hee...,Personal
Y so late but i need to go n get da laptop...,Personal
Where to get those?,Personal
Then cant get da laptop? My matric card wif  lei...,Personal
I dunno they close oredi not...  v ma fan...,Personal
Hi dis is yijue i would be happy to work wif  all for gek1510...,Personal
 comin to fetch us oredi...,Personal
Got smaller capacity one? Quite ex...,Personal
Ok thanx...,Personal
Wat  doing now?,Personal
Got meh... When?,Personal
m not at home in da aft wat...,Personal
Mum ask  to buy food home...,Personal
Leave it wif me lar...  wan to carry meh so heavy... Is da num 98321561 familiar to ?,Personal
s my group mate... Lucky i havent reply... Wat time do  need to leave...,Personal
m askin if  leaving earlier or wat mah cos mayb  haf to walk v far...,Personal
Yup...,Personal
m stuck in da middle of da row on da right hand side of da lt...,Personal
Black shirt n blue jeans... I thk i c ...,Personal
Not directly behind... Abt 4 rows behind ...,Personal
 go home liao? Ask dad to pick me up at 6...,Personal
m done oredi...,Personal
I wait 4  inside da car park...,Personal
Yup... How  noe leh...,Personal
Oic... I saw him too but i tot he din c me... I found a group liao...,Personal
Aiyo a bit pai seh noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,Personal
How i noe... Did  specify da domain as nusstu...  still in sch...,Personal
When  login dat time... Dad fetching  home now?,Personal
I come n pick  up... Come out immediately aft ur lesson...,Personal
Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,Personal
 ready then call me...,Personal
 still got lessons?   in sch?,Personal
Shall i get my pouch?,Personal
m on da bus going home...,Personal
