Body,labels
"ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",Personal
"m still sleepin, haha... Okie, u go home liao den confirm w me lor...",Personal
"m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",Personal
m eatin too much n puttin on weight...Haha... So anythin special happened?,Personal
Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,Personal
"m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Personal
Goin to workout lor... Muz lose e fats...,Personal
ve oredi booked slots 4 my weekends liao...,Personal
"I noe la... U wana pei bf oso rite... K lor, other days den...",Personal
U meet other fren dun wan meet me ah... Muz b a guy rite...,Personal
"Oh... Icic... K lor, den meet other day...",Personal
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",Personal
U attend ur driving lesson how many times a wk n which day?,Personal
Ay wana meet on sat? wkg on sat?,Personal
Shopping? Eh ger i toking abt syd leh...Haha,Personal
s  only $140 ard... rest all ard $180 at least...Which is  price 4  2 bedrm ($900),Personal
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,Personal
Okay... I booked all already... Including the one at bugis.,Personal
Yun ah.now  wkg where?btw if  go nus sc.  wana specialise in wad?,Personal
Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,Personal
Hey we can go jazz power yoga hip hop kb and yogasana,Personal
"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",Personal
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,Personal
Wa... U so efficient... Gee... Thanx...,Personal
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",Personal
s e best choice den we juz have to take it...,Personal
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,Personal
"Until 545 lor... Ya, can go 4 dinner together...",Personal
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",Personal
"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",Personal
s shop ?,Personal
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Personal
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",Personal
haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,Personal
My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,Personal
Hey... What time is your driving on fri? We go for evaluation on fri?,Personal
m going to be late leh.,Personal
Hey are we going for the lo lesson or gym?,Personal
Okay... We wait ah,Personal
Hey come online! Use msn... We are all there,Personal
Oh yah... We never cancel leh... Haha,Personal
K. Did you call me just now ah?,Personal
Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,Personal
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,Personal
You want to go?,Personal
Kay... Since we are out already,Personal
Haha okay... Today weekend leh...,Personal
Haha... They cant what... At the most tmr forfeit... haha so how?,Personal
Hey... Why dont we just go watch x men and have lunch... Haha,Personal
Haha... Really oh no... How? Then will they deduct your lesson tmr?,Personal
m only reaching tp mrt,Personal
m goin to be late,Personal
Ya! when are  taking ure practical lessons? I start in june..,Personal
Hey... Very inconvenient for your sis a not huh?,Personal
m at amk. Need to drink tea or coffee,Personal
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,Personal
s on 21 may. Coz thought wanna go out with jiayin. But she isnt free,Personal
Haha... dont be angry with yourself... Take it as a practice for the real thing. =),Personal
Haha... Hope  can hear the receipt sound... Gd luck!,Personal
Huh? 6 also cannot? Then only how many mistakes?,Personal
Nope... Think i will go for it on monday... Sorry i replied so late,Personal
Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,Personal
I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,Personal
Hey gals.. Anyone of u going down to e driving centre tmr?,Personal
Ok no prob,Personal
Nope i waiting in sch 4 daddy...,Personal
Dunno lei he neva say...,Personal
 called dad oredi...,Personal
Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...,Personal
Dad went out oredi...,Personal
 still attending da talks?,Personal
Then she buying today?  no need to c meh...,Personal
m free...,Personal
Nope... C  then...,Personal
Is fujitsu s series lifebook good?,Personal
Is toshiba portege m100 gd?,Personal
Yun buying... But school got offer 2000 plus only...,Personal
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",Personal
Okie... Thanx...,Personal
How come i din c ... Yup i cut my hair...,Personal
No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,Personal
s naughty...  so free today? Can go jogging...,Personal
Ok... C ya...,Personal
m not drivin... I neva develop da photos lei...,Personal
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,Personal
645,Personal
 dun need to pick ur gf?,Personal
Okie...,Personal
m at home n ready...,Personal
Ok...,Personal
Dunno lei... I thk mum lazy to go out... I neva ask her yet...,Personal
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,Personal
Dun need to use dial up juz open da browser n surf...,Personal
When did i use soc... I use it only at home...  dunno how 2 type it in word ar...,Personal
Can a not?,Personal
Juz go google n search 4 qet...,Personal
s hostel?,Personal
Ok...,Personal
Huh means computational science... Y they like dat one push here n there...,Personal
I not at home now lei...,Personal
Eatin my lunch...,Personal
 takin linear algebra today?,Personal
 bot notes oredi... Cos i juz rem i got...,Personal
Wah lucky man... Then can save money... Hee...,Personal
Y so late but i need to go n get da laptop...,Personal
Where to get those?,Personal
Then cant get da laptop? My matric card wif  lei...,Personal
I dunno they close oredi not...  v ma fan...,Personal
Hi dis is yijue i would be happy to work wif  all for gek1510...,Personal
 comin to fetch us oredi...,Personal
Got smaller capacity one? Quite ex...,Personal
Ok thanx...,Personal
Wat  doing now?,Personal
Got meh... When?,Personal
m not at home in da aft wat...,Personal
Mum ask  to buy food home...,Personal
Leave it wif me lar...  wan to carry meh so heavy... Is da num 98321561 familiar to ?,Personal
s my group mate... Lucky i havent reply... Wat time do  need to leave...,Personal
m askin if  leaving earlier or wat mah cos mayb  haf to walk v far...,Personal
Yup...,Personal
m stuck in da middle of da row on da right hand side of da lt...,Personal
Black shirt n blue jeans... I thk i c ...,Personal
Not directly behind... Abt 4 rows behind ...,Personal
 go home liao? Ask dad to pick me up at 6...,Personal
m done oredi...,Personal
I wait 4  inside da car park...,Personal
Yup... How  noe leh...,Personal
Oic... I saw him too but i tot he din c me... I found a group liao...,Personal
Aiyo a bit pai seh noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,Personal
How i noe... Did  specify da domain as nusstu...  still in sch...,Personal
When  login dat time... Dad fetching  home now?,Personal
I come n pick  up... Come out immediately aft ur lesson...,Personal
Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,Personal
 ready then call me...,Personal
 still got lessons?   in sch?,Personal
Shall i get my pouch?,Personal
m on da bus going home...,Personal
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Personal
Ok lar... Joking wif u oni...,Personal
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
U dun say so early hor... U c already then say...,Personal
"Nah I don't think he goes to usf, he lives around here though",Personal
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ?1.50 to rcv",spam
Even my brother is not like to speak with me. They treat me like aids patent.,Personal
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Personal
WINNER!! As a valued network customer you have been selected to receivea 900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",Personal
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
"URGENT! You have won a 1 week FREE membership in our 100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Personal
I HAVE A DATE ON SUNDAY WITH WILL!!,Personal
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
Oh k...i'm watching here:),Personal
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Personal
Fine if thats the way u feel. Thats the way its gota b,Personal
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/?1.20 POBOXox36504W45WQ 16+",spam
Is that seriously how you spell his name?,Personal
Im going to try for 2 months ha ha only joking,Personal
So _ pay first lar... Then when is da stock comin...,Personal
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Personal
Ffffffffff. Alright no way I can meet up with you sooner?,Personal
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Personal
Lol your always so convincing.,Personal
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Personal
"I'm back &amp; we're packing the car now, I'll let you know if there's room",Personal
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Personal
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Personal
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Personal
K tell me anything about you.,Personal
For fear of fainting with the of all that housework you just did? Quick have a cuppa,Personal
Thanks for your subscription to Ringtone UK your mobile will be charged 5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam
Yup... Ok i go home look at the timings then i msg _ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Personal
"Oops, I'll let you know when my roommate's done",Personal
I see the letter B on my car,Personal
Anything lor... U decide...,Personal
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Personal
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Personal
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",Personal
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
WHO ARE YOU SEEING?,Personal
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Personal
No calls..messages..missed calls,Personal
Didn't you get hep b immunisation in nigeria.,Personal
"Fair enough, anything going on?",Personal
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",Personal
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Personal
What you thinked about me. First time you saw me in class.,Personal
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",Personal
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,Personal
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",Personal
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Personal
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
"Sorry, I'll call later in meeting.",Personal
Tell where you reached,Personal
Yes..gauti and sehwag out of odi series.,Personal
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Personal
Ha ha ha good joke. Girls are situation seekers.,Personal
Its a part of checking IQ,Personal
"Sorry my roommates took forever, it ok if I come by now?",Personal
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Personal
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ?1500 Bonus Prize, call 09066364589",spam
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",Personal
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or 1000. To claim txt DIS to 87121 18+6*?1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam
I plane to give on this month end.,Personal
Wah lucky man... Then can save money... Hee...,Personal
Finished class where are you.,Personal
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,Personal
K..k:)where are you?how did you performed?,Personal
U can call me now...,Personal
I am waiting machan. Call me once you free.,Personal
Thats cool. i am a gentleman and will treat you with dignity and respect.,Personal
I like you peoples very much:) but am very shy pa.,Personal
Does not operate after  &lt;#&gt;  or what,Personal
Its not the same here. Still looking for a job. How much do Ta's earn there.,Personal
"Sorry, I'll call later",Personal
K. Did you call me just now ah? ,Personal
Ok i am on the way to home hi hi,Personal
You will be in the place of that man,Personal
Yup next stop.,Personal
"I call you later, don't have network. If urgnt, sms me.",Personal
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Personal
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Personal
I'm really not up to it still tonight babe,Personal
"Ela kano.,il download, come wen ur free..",Personal
Yeah do! Dont stand to close tho- youll catch something!,Personal
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Personal
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Personal
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ?1000 cash or ?5000 prize!,spam
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Personal
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
Watching telugu movie..wat abt u?,Personal
i see. When we finish we have loads of loans to pay,Personal
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",Personal
Please don't text me anymore. I have nothing else to say.,Personal
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Personal
I'm still looking for a car to buy. And have not gone 4the driving test yet.,Personal
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Personal
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",Personal
Umma my life and vava umma love you lot dear,Personal
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Personal
"Aight, I'll hit you up when I get some cash",Personal
How would my ip address test that considering my computer isn't a minecraft server,Personal
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,Personal
Dont worry. I guess he's busy.,Personal
What is the plural of the noun research?,Personal
Going for dinner.msg you after.,Personal
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Personal
GENT! We are trying to contact you. Last weekends draw shows that you won a 1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",Personal
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",Personal
You are a winner U have been specially selected 2 receive 1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Personal
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Personal
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
"URGENT! Your Mobile No. was awarded 2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
here is my new address -apples&pairs&all that malarky,Personal
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
I am going to sao mu today. Will be done only at 12 ,Personal
predict wat time _'ll finish buying?,Personal
"Good stuff, will do.",Personal
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",Personal
Are you there in room.,Personal
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,Personal
K..k:)how much does it cost?,Personal
I'm home.,Personal
"Dear, will call Tmorrow.pls accomodate.",Personal
First answer my question.,Personal
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ?1.50 SP:Tyrone,spam
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam
I only haf msn. It's yijue@hotmail.com,Personal
He is there. You call and meet him,Personal
No no. I will check all rooms befor activities,Personal
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam
Got c... I lazy to type... I forgot _ in lect... I saw a pouch but like not v nice...,Personal
"K, text me when you're on the way",Personal
"Sir, Waiting for your mail.",Personal
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",Personal
I know you are. Can you pls open the back?,Personal
Yes see ya not on the dot,Personal
Whats the staff name who is taking class for us?,Personal
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Personal
K..i deleted my contact that why?,Personal
Sindu got job in birla soft ..,Personal
The wine is flowing and i'm i have nevering..,Personal
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Personal
Ok... Ur typical reply...,Personal
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Personal
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",Personal
Aaooooright are you at work?,Personal
I'm leaving my house now...,Personal
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",Personal
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam
You are a winner U have been specially selected 2 receive 1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Personal
New car and house for my parents.:)i have only new job in hand:),Personal
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,Personal
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam
I place all ur points on e cultures module already.,Personal
URGENT! We are trying to contact you. Last weekends draw shows that you have won a 900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",Personal
Great escape. I fancy the bridge but needs her lager. See you tomo ,Personal
Yes :)it completely in out of form:)clark also utter waste.,Personal
"Sir, I need AXIS BANK account no and bank address.",Personal
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",Personal
What time you coming down later? ,Personal
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",Personal
"Well, i'm gonna finish my bath now. Have a good...fine night.",Personal
Let me know when you've got the money so carlos can make the call,Personal
U still going to the mall?,Personal
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",Personal
Text her. If she doesnt reply let me know so i can have her log in,Personal
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Personal
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,Personal
Lol no. U can trust me.,Personal
ok. I am a gentleman and will treat you with dignity and respect.,Personal
"He will, you guys close?",Personal
Going on nothing great.bye,Personal
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,Personal
"Haha awesome, be there in a minute",Personal
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ?1000 cash or ?5000 prize!,spam
Have you got Xmas radio times. If not i will get it now,Personal
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,Personal
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,Personal
Hi :)finally i completed the course:),Personal
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,Personal
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,Personal
Gud mrng dear hav a nice day,Personal
Did u got that persons story,Personal
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,Personal
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,Personal
"Found it, ENC  &lt;#&gt; , where you at?",Personal
I sent you  &lt;#&gt;  bucks,Personal
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,Personal
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Personal
Goodmorning sleeping ga.,Personal
U call me alter at 11 ok.,Personal
 say until like dat i dun buy ericsson oso cannot oredi lar...,Personal
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",Personal
"Aight yo, dats straight dogg",Personal
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,Personal
Both :) i shoot big loads so get ready!,Personal
"What's up bruv, hope you had a great break. Do have a rewarding semester.",Personal
